Stretches length,loop length 1,loop length 2,loop length 3,loop length 4
1,4.976202875375748,4.2063341327011585,4.120385606540367,4.0174557119607925
2,5.472015915438533,5.3335136361420155,5.015650257468224,4.671677816659212
3,6.4576126486063,6.057014085352421,5.721638098359108,5.425248019397259
4,6.455107547342777,5.9917604476213455,5.799799434840679,5.529847234487534
5,6.298265751451254,6.009820610284805,5.699925817549229,5.726495385169983
6,6.357509893452516,5.935262302053161,5.9701128443703055,5.815250366926193
7,6.172421813011169,6.101094888523221,5.926361691206694,5.783040190115571
8,6.147814668715,6.004266656935215,5.897172220051289,5.999660306144506
