True positive rate,False positive rate
0.0,0.0
0.010526315789473684,0.0
0.031578947368421054,0.0
0.05263157894736842,0.0
0.07368421052631578,0.0
0.09473684210526316,0.0
0.1368421052631579,0.0
0.15789473684210525,0.0
0.17894736842105263,0.0
0.22105263157894736,0.0
0.25263157894736843,0.0
0.29473684210526313,0.0
0.3157894736842105,0.0
0.3368421052631579,0.043478260869565216
0.3473684210526316,0.08695652173913043
0.3473684210526316,0.13043478260869565
0.35789473684210527,0.13043478260869565
0.3894736842105263,0.13043478260869565
0.43157894736842106,0.17391304347826086
0.45263157894736844,0.2608695652173913
0.49473684210526314,0.391304347826087
0.5473684210526316,0.43478260869565216
0.6105263157894737,0.4782608695652174
0.631578947368421,0.5652173913043478
0.6631578947368421,0.5652173913043478
0.7157894736842105,0.6521739130434783
0.7263157894736842,0.6956521739130435
0.7684210526315789,0.6956521739130435
0.8105263157894737,0.6956521739130435
0.8315789473684211,0.6956521739130435
0.8526315789473684,0.8260869565217391
0.8736842105263158,0.8695652173913043
0.9052631578947369,0.9130434782608695
0.9263157894736842,0.9130434782608695
0.9368421052631579,0.9130434782608695
0.9578947368421052,0.9565217391304348
0.968421052631579,0.9565217391304348
0.9894736842105263,0.9565217391304348
1.0,0.9565217391304348
1.0,1.0
