True positive rate,False positive rate
0.0,0.0
0.010526315789473684,0.0
0.021052631578947368,0.0
0.042105263157894736,0.0
0.15789473684210525,0.0
0.15789473684210525,0.043478260869565216
0.2,0.043478260869565216
0.22105263157894736,0.043478260869565216
0.4,0.043478260869565216
0.4,0.08695652173913043
0.4105263157894737,0.08695652173913043
0.4105263157894737,0.13043478260869565
0.5789473684210527,0.13043478260869565
0.5789473684210527,0.17391304347826086
0.6,0.17391304347826086
0.6,0.21739130434782608
0.6210526315789474,0.21739130434782608
0.6736842105263158,0.21739130434782608
0.6736842105263158,0.2608695652173913
0.6947368421052632,0.2608695652173913
0.6947368421052632,0.34782608695652173
0.7157894736842105,0.34782608695652173
0.7157894736842105,0.391304347826087
0.7473684210526316,0.391304347826087
0.7473684210526316,0.4782608695652174
0.7789473684210526,0.4782608695652174
0.7789473684210526,0.5652173913043478
0.8105263157894737,0.5652173913043478
0.8105263157894737,0.6086956521739131
0.8421052631578947,0.6086956521739131
0.8421052631578947,0.6521739130434783
0.9052631578947369,0.6521739130434783
0.9052631578947369,0.782608695652174
0.9157894736842105,0.782608695652174
0.9157894736842105,0.8260869565217391
0.9368421052631579,0.8260869565217391
0.9368421052631579,0.8695652173913043
0.9578947368421052,0.8695652173913043
0.9578947368421052,0.9130434782608695
0.9789473684210527,0.9130434782608695
0.9789473684210527,0.9565217391304348
0.9894736842105263,0.9565217391304348
0.9894736842105263,1.0
1.0,1.0
