True positive rate,False positive rate
0.0,0.0
0.009708737864077669,0.0
0.019417475728155338,0.0
0.038834951456310676,0.0
0.06796116504854369,0.0
0.06796116504854369,0.04
0.18446601941747573,0.04
0.20388349514563106,0.04
0.21359223300970873,0.04
0.23300970873786409,0.04
0.32038834951456313,0.04
0.32038834951456313,0.08
0.33980582524271846,0.08
0.3592233009708738,0.08
0.36893203883495146,0.08
0.3883495145631068,0.08
0.39805825242718446,0.08
0.42718446601941745,0.08
0.4563106796116505,0.08
0.4563106796116505,0.12
0.46601941747572817,0.12
0.46601941747572817,0.16
0.47572815533980584,0.16
0.49514563106796117,0.16
0.5048543689320388,0.16
0.5242718446601942,0.16
0.5631067961165048,0.16
0.5631067961165048,0.2
0.5728155339805825,0.2
0.5728155339805825,0.24
0.5922330097087378,0.24
0.6116504854368932,0.24
0.6699029126213593,0.24
0.6699029126213593,0.32
0.6990291262135923,0.32
0.6990291262135923,0.44
0.7087378640776699,0.44
0.7087378640776699,0.48
0.7475728155339806,0.48
0.7572815533980582,0.52
0.7669902912621359,0.52
0.7669902912621359,0.56
0.8058252427184466,0.56
0.8252427184466019,0.56
0.8543689320388349,0.56
0.8543689320388349,0.6
0.8737864077669902,0.6
0.8737864077669902,0.64
0.883495145631068,0.64
0.883495145631068,0.68
0.9029126213592233,0.68
0.9029126213592233,0.8
0.9223300970873787,0.8
0.9223300970873787,0.84
0.9611650485436893,0.84
0.9611650485436893,0.88
0.970873786407767,0.88
0.970873786407767,0.92
1.0,0.92
1.0,1.0
