precision,recall
0.011294930569397382,1.0
0.011295082176252946,1.0
0.01129512007860276,1.0
0.011295127659103248,1.0
0.011295157981206951,1.0
0.011295173142319852,1.0
0.011295188303473454,1.0
0.011295203464667758,1.0
0.011295264109851981,1.0
0.011295552183370505,1.0
0.011295559764451001,1.0
0.011295590088874749,1.0
0.011295597670006128,1.0
0.011295855434528,1.0
0.011295908505154639,1.0
0.01129593124986157,1.0
0.011296022229605244,1.0
0.011296151120084193,1.0
0.011296189029608366,1.0
0.01129630275970757,1.0
0.011296355834537584,1.0
0.011296765285704793,1.0
0.011297349184080336,1.0
0.011298062076910064,1.0
0.011298926769795948,1.0
0.01129987505010417,1.0
0.011301483697458677,1.0
0.011302796753820654,1.0
0.011303411642312505,1.0
0.011306023766162139,1.0
0.011309047439538929,1.0
0.011311692580053916,1.0
0.011315822383947266,1.0
0.01131942987199561,1.0
0.011323953896772371,1.0
0.011329854266972566,1.0
0.01133511183909664,1.0
0.011342781832408545,1.0
0.011350224913844846,1.0
0.011360376384187274,1.0
0.011376725774266292,1.0
0.011394094162743952,1.0
0.011416988723434133,1.0
0.011445662685507466,1.0
0.01147617891656143,1.0
0.01151763094033963,1.0
0.011565174188840122,1.0
0.011623979793752058,1.0
0.011709365613983334,1.0
0.011819326530139283,1.0
0.011969991806636625,1.0
0.012175844369124143,1.0
0.012441212866712697,1.0
0.01279381091317774,0.9997029114676174
0.013211581242686572,0.9975638740344622
0.013772062879205736,0.996969696969697
0.014425896780962701,0.9966726084373143
0.01519287283413591,0.9928104575163399
0.016043167688680155,0.9880570409982175
0.017032825072384124,0.987106357694593
0.018210578305486714,0.9836601307189542
0.019570810978505025,0.9820558526440879
0.021030181507684178,0.979025549613785
0.022663918687821683,0.9748663101604278
0.024372135545822304,0.9693998811645871
0.02652058394065633,0.9691027926322044
0.028718058979966973,0.9682115270350564
0.031125316113496008,0.9645870469399881
0.03404385701663998,0.9638740344622697
0.03720565906412733,0.9623885918003565
0.040388421418723994,0.9591206179441474
0.044150146782333345,0.9543672014260249
0.04821378627988175,0.9525846702317291
0.05206800287745095,0.937551990493167
0.056502193771128535,0.9335115864527629
0.06176279078944772,0.9299465240641711
0.06679073525682629,0.9233511586452763
0.0731969910894315,0.9210338680926916
0.07924164656896089,0.9136660724896019
0.08503831980647933,0.8939988116458705
0.09228268795807636,0.8872846108140225
0.10037601909333842,0.8771241830065359
0.10701724253806576,0.8515151515151516
0.1140634809337062,0.8312537136066548
0.12300890477506306,0.8199643493761141
0.13043394611026138,0.8056446821152704
0.14034013533628215,0.7898989898989899
0.15035140855776316,0.7639334521687463
0.15996515813339823,0.7420083184789067
0.16763371219039325,0.708972073677956
0.18006371485294798,0.6951871657754011
0.18928332217012725,0.6716577540106952
0.19995617799039567,0.6506833036244801
0.2075236621586319,0.6136066547831254
0.2134784336232396,0.5746286393345217
0.2198421372191864,0.5378490790255496
0.22097368208822818,0.48841354723707664
0.23229151236853798,0.4658942364824718
0.24593151933342014,0.4489601901366607
0.2553554571200349,0.4178847296494355
0.26204988371160476,0.38829471182412356
0.2691895272987222,0.3579916815210933
0.2786810515119283,0.3269162210338681
0.28862343572241184,0.30148544266191324
0.2923742493704397,0.2690433749257279
0.2910551296093465,0.2368389780154486
0.2992642354446577,0.22234105763517528
0.2881465120559544,0.18603683897801546
0.2926931106471816,0.16660724896019014
0.30112175741995795,0.1531194295900178
0.30742287484844405,0.13559120617944148
0.31740914419695193,0.128698752228164
0.321927948675769,0.11628045157456922
0.3199712385403559,0.10576351752822341
0.3146208630079598,0.08924539512774807
0.30954653937947496,0.07706476530005942
0.33104066985645936,0.06577540106951872
0.3420865862313698,0.057278669043374926
0.36336206896551726,0.05008912655971479
0.36164927968206656,0.04325609031491384
0.34541203974284046,0.035115864527629236
0.3474240422721268,0.031253713606654784
0.4370731707317073,0.026619132501485444
0.4667458432304038,0.02335115864527629
0.5332225913621262,0.019073083778966132
0.5403377110694184,0.017112299465240642
0.5441176470588235,0.015389185977421272
0.5614457831325301,0.013844325609031491
0.3953488372093023,0.007070707070707071
0.3314917127071823,0.0035650623885918
0.3333333333333333,0.0035650623885918
0.5,0.0035650623885918
0.49206349206349204,0.00184194890077243
0.5,0.00184194890077243
0.5081967213114754,0.00184194890077243
0.5254237288135594,0.00184194890077243
1.0,0.0
