True positive rate,False positive rate
0.0,0.0
0.009708737864077669,0.0
0.02912621359223301,0.0
0.04854368932038835,0.0
0.1553398058252427,0.0
0.1553398058252427,0.04
0.1650485436893204,0.04
0.18446601941747573,0.04
0.20388349514563106,0.04
0.22330097087378642,0.04
0.4077669902912621,0.04
0.4077669902912621,0.08
0.4174757281553398,0.08
0.4174757281553398,0.12
0.5825242718446602,0.12
0.5825242718446602,0.16
0.6019417475728155,0.16
0.6019417475728155,0.2
0.6699029126213593,0.2
0.6699029126213593,0.24
0.6990291262135923,0.24
0.6990291262135923,0.28
0.7184466019417476,0.28
0.7184466019417476,0.36
0.7475728155339806,0.36
0.7475728155339806,0.44
0.7766990291262136,0.44
0.7766990291262136,0.56
0.8058252427184466,0.56
0.8058252427184466,0.6
0.8349514563106796,0.6
0.8349514563106796,0.68
0.8932038834951457,0.68
0.8932038834951457,0.8
0.9029126213592233,0.8
0.9029126213592233,0.84
0.912621359223301,0.84
0.912621359223301,0.88
0.9320388349514563,0.88
0.9514563106796117,0.88
0.9514563106796117,0.92
0.970873786407767,0.92
0.970873786407767,0.96
1.0,0.96
1.0,1.0
