True positive rate,False positive rate
0.0,0.0
0.019417475728155338,0.0
0.07766990291262135,0.0
0.10679611650485436,0.0
0.1262135922330097,0.0
0.1553398058252427,0.0
0.21359223300970873,0.0
0.21359223300970873,0.04
0.23300970873786409,0.04
0.23300970873786409,0.08
0.2524271844660194,0.08
0.27184466019417475,0.08
0.2912621359223301,0.08
0.2912621359223301,0.12
0.3106796116504854,0.12
0.32038834951456313,0.24
0.3300970873786408,0.24
0.34951456310679613,0.24
0.36893203883495146,0.28
0.4077669902912621,0.28
0.4174757281553398,0.28
0.4368932038834951,0.32
0.4563106796116505,0.32
0.47572815533980584,0.4
0.5145631067961165,0.4
0.5533980582524272,0.44
0.5728155339805825,0.44
0.5825242718446602,0.44
0.6019417475728155,0.44
0.6019417475728155,0.48
0.6310679611650486,0.48
0.6310679611650486,0.52
0.6504854368932039,0.52
0.6893203883495146,0.52
0.7087378640776699,0.52
0.7475728155339806,0.52
0.7572815533980582,0.52
0.7864077669902912,0.56
0.7961165048543689,0.56
0.8446601941747572,0.6
0.8543689320388349,0.64
0.8737864077669902,0.64
0.9029126213592233,0.76
0.9029126213592233,0.8
0.912621359223301,0.88
0.9320388349514563,0.88
0.9514563106796117,0.88
0.9611650485436893,0.88
0.9611650485436893,0.92
0.9805825242718447,0.92
0.9902912621359223,0.92
0.9902912621359223,0.96
1.0,0.96
1.0,1.0
