True positive rate,False positive rate
0.0,0.0
0.019417475728155338,0.0
0.038834951456310676,0.0
0.05825242718446602,0.0
0.1650485436893204,0.0
0.18446601941747573,0.0
0.2815533980582524,0.0
0.2815533980582524,0.08
0.3106796116504854,0.08
0.3106796116504854,0.12
0.3592233009708738,0.12
0.3592233009708738,0.16
0.3883495145631068,0.16
0.3883495145631068,0.2
0.39805825242718446,0.2
0.39805825242718446,0.28
0.42718446601941745,0.28
0.42718446601941745,0.36
0.4563106796116505,0.36
0.4563106796116505,0.4
0.5145631067961165,0.4
0.5145631067961165,0.48
0.5242718446601942,0.48
0.5242718446601942,0.56
0.6019417475728155,0.56
0.6019417475728155,0.6
0.6504854368932039,0.6
0.6504854368932039,0.68
0.6893203883495146,0.68
0.6893203883495146,0.72
0.6990291262135923,0.72
0.7184466019417476,0.72
0.7572815533980582,0.72
0.7572815533980582,0.76
0.7961165048543689,0.76
0.8155339805825242,0.76
0.883495145631068,0.76
0.883495145631068,0.84
0.8932038834951457,0.84
0.8932038834951457,0.88
0.9611650485436893,0.88
0.9611650485436893,0.92
0.970873786407767,0.92
0.970873786407767,0.96
0.9805825242718447,0.96
0.9805825242718447,1.0
1.0,1.0
